,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Language,Original,"Tasks after filter (length,spcl character)",Tasks after frequency filter (1),Tasks after frequency filter (2),Tasks after frequency filter (3)
,,,,,,,
,,Gujrati,452602,90440,58290,43890,35875
,,Malayalam,339189,171524,130607,103777,85163
,,Tamil,1336017,396524,262950,230123,206512
,,Hindi,4204254,663550,238769,222920,211840
,,Marathi,1115858,397032,348644,314119,286082
,,Kannada,1352205,554304,372289,292703,246125
,,Telugu,2930424,418886,274359,241788,221200
